,Pclass,Age,SibSp,Parch,Gender,Embarkation_port,Survived
0,2,29.0,1,0,1,0,1
1,3,29.700559701492537,0,0,0,0,0
2,2,39.0,0,0,0,0,0
3,3,29.0,0,4,1,0,0
4,3,25.0,0,0,0,0,0
5,3,34.5,0,0,0,2,0
6,1,35.0,1,0,1,0,1
7,3,23.0,0,0,0,0,0
8,2,29.700559701492537,0,0,0,0,1
9,3,50.0,0,0,0,0,0
10,3,23.0,0,0,1,0,1
11,3,29.700559701492537,0,0,0,2,0
12,2,36.0,0,0,0,0,0
13,3,29.700559701492537,1,0,0,1,0
14,3,29.700559701492537,0,0,1,1,1
15,3,28.0,2,0,0,0,0
16,3,32.0,0,0,0,0,1
17,3,42.0,0,0,0,0,0
18,1,38.0,0,1,0,0,0
19,3,29.700559701492537,0,0,1,1,1
20,1,38.0,0,0,0,0,0
21,3,29.700559701492537,0,2,1,2,0
22,2,40.0,0,0,1,0,1
23,3,24.5,0,0,0,0,0
24,3,29.700559701492537,0,0,1,2,1
25,3,29.700559701492537,8,2,1,0,0
26,1,39.0,0,0,0,0,0
27,1,22.0,0,0,0,2,0
28,3,16.0,0,0,0,0,0
29,2,30.0,0,0,0,0,0
30,1,39.0,1,1,1,0,1
31,3,28.0,0,0,0,0,0
32,1,18.0,1,0,0,2,0
33,3,26.0,0,0,1,0,1
34,1,60.0,0,0,0,0,0
35,3,42.0,0,0,0,0,0
36,3,1.0,4,1,0,0,0
37,3,2.0,4,1,0,1,0
38,1,37.0,0,1,0,2,0
39,3,29.700559701492537,0,0,0,0,0
40,3,29.0,1,0,0,0,0
41,2,30.0,0,0,0,0,0
42,3,32.0,1,1,1,1,0
43,1,41.0,0,0,1,2,1
44,2,25.0,1,0,0,0,0
45,3,21.0,0,0,0,0,0
46,1,27.0,0,0,0,2,1
47,3,29.700559701492537,0,0,0,0,0
48,3,31.0,1,0,1,0,0
49,1,61.0,0,0,0,0,0
50,2,50.0,0,0,1,0,1
51,3,3.0,1,1,0,0,1
52,2,18.0,0,0,0,0,0
53,3,31.0,1,1,1,0,1
54,3,29.700559701492537,0,0,0,1,0
55,3,29.700559701492537,0,0,1,1,1
56,3,19.0,0,0,0,0,0
57,3,29.700559701492537,0,0,0,0,0
58,3,42.0,0,1,0,0,0
59,1,29.700559701492537,1,0,1,0,1
60,2,54.0,0,0,0,0,0
61,1,35.0,0,0,0,2,1
62,1,47.0,0,0,0,0,0
63,1,35.0,1,0,1,0,1
64,1,26.0,0,0,1,0,1
65,1,29.700559701492537,0,0,1,2,1
66,3,27.0,0,0,0,0,0
67,3,25.0,0,0,0,0,0
68,1,64.0,0,0,0,0,0
69,2,46.0,0,0,0,0,0
70,3,39.0,0,5,1,1,0
71,2,21.0,2,0,0,0,0
72,3,21.0,0,0,0,0,0
73,3,35.0,0,0,0,0,0
74,2,66.0,0,0,0,0,0
75,2,28.0,0,0,1,0,1
76,3,1.0,1,1,1,0,1
77,1,48.0,1,0,1,2,1
78,1,38.0,1,0,1,2,1
79,3,36.0,1,0,1,0,1
80,1,29.700559701492537,1,0,1,2,1
81,3,31.0,0,0,0,0,0
82,1,18.0,1,0,1,2,1
83,2,23.0,0,0,0,0,0
84,1,54.0,1,0,1,2,1
85,3,25.0,0,0,0,1,0
86,3,40.0,1,1,0,1,0
87,1,17.0,0,2,0,2,1
88,3,21.0,0,0,0,0,0
89,2,29.0,1,0,0,0,0
90,3,30.0,1,1,1,0,0
91,2,32.0,0,0,1,0,1
92,1,36.0,0,2,1,0,1
93,1,35.0,0,0,0,0,1
94,3,32.0,0,0,0,0,0
95,3,17.0,1,0,0,0,0
96,2,8.0,0,2,1,0,1
97,3,29.700559701492537,0,0,0,1,0
98,3,18.0,0,0,0,0,0
99,3,29.700559701492537,1,1,1,2,1
100,1,48.0,0,0,0,0,1
101,1,29.700559701492537,0,0,0,0,1
102,1,30.0,0,0,0,2,0
103,3,19.0,0,0,0,0,1
104,3,28.0,0,0,1,0,0
105,2,31.0,0,0,0,0,0
106,3,22.0,0,0,0,0,0
107,3,29.700559701492537,0,0,0,0,0
108,1,14.0,1,2,1,0,1
109,3,33.0,0,0,0,0,0
110,3,11.0,4,2,1,0,0
111,1,48.0,0,0,1,0,1
112,1,51.0,0,0,0,0,1
113,3,1.0,0,2,1,2,1
114,1,19.0,1,0,0,0,0
115,2,32.0,2,0,0,0,0
116,2,34.0,1,0,0,0,0
117,3,49.0,0,0,0,0,0
118,3,21.0,0,0,1,0,1
119,3,13.0,0,0,1,2,1
120,2,25.0,0,1,1,0,1
121,2,28.0,0,0,1,0,1
122,2,32.5,0,0,1,0,1
123,3,20.0,0,0,1,0,0
124,1,32.0,0,0,1,2,1
125,3,27.0,1,0,0,2,0
126,1,29.0,0,0,0,0,0
127,3,29.700559701492537,0,0,0,0,0
128,3,28.5,0,0,0,0,0
129,3,29.700559701492537,0,2,1,2,1
130,2,59.0,0,0,0,0,0
131,3,0.75,2,1,1,2,1
132,3,30.0,0,0,0,0,0
133,1,49.0,1,1,0,2,0
134,3,28.0,0,0,0,0,0
135,2,41.0,0,1,1,0,1
136,3,26.0,1,0,0,2,0
137,2,62.0,0,0,0,0,1
138,3,39.0,0,0,0,0,1
139,2,51.0,0,0,0,0,0
140,2,37.0,1,0,0,0,0
141,3,24.0,0,3,1,2,1
142,1,36.0,0,0,0,0,1
143,3,20.0,0,0,0,0,0
144,3,25.0,0,0,0,0,0
145,2,52.0,0,0,0,0,0
146,1,44.0,0,1,1,2,1
147,3,28.0,1,0,0,0,0
148,2,35.0,0,0,1,0,1
149,1,30.0,0,0,1,2,1
150,3,29.0,1,1,1,0,0
151,2,18.0,0,0,0,0,0
152,2,29.0,1,0,1,0,1
153,3,29.700559701492537,8,2,1,0,0
154,1,51.0,1,0,1,0,1
155,2,25.0,1,2,0,2,0
156,1,35.0,1,0,1,0,1
157,3,40.0,0,0,0,0,0
158,3,15.0,0,0,1,1,1
159,3,28.0,1,1,1,0,0
160,3,63.0,0,0,1,0,1
161,3,30.0,0,0,1,0,0
162,3,44.0,0,0,0,0,0
163,1,34.0,0,0,0,0,1
164,2,19.0,1,1,0,0,0
165,1,24.0,0,0,1,2,1
166,1,29.700559701492537,0,0,0,2,0
167,3,29.700559701492537,0,0,0,2,0
168,3,25.0,1,0,0,0,0
169,3,9.0,4,2,0,0,0
170,3,29.700559701492537,0,0,0,0,0
171,1,52.0,0,0,0,0,1
172,3,24.0,1,0,1,0,1
173,1,54.0,0,1,0,0,0
174,1,70.0,1,1,0,0,0
175,2,6.0,0,1,1,0,1
176,3,33.0,3,0,1,0,1
177,2,32.0,1,0,0,0,1
178,1,26.0,0,0,0,2,1
179,1,36.0,1,0,0,0,0
180,3,70.5,0,0,0,1,0
181,3,29.700559701492537,0,0,1,0,0
182,3,29.700559701492537,1,0,1,0,1
183,1,28.0,1,0,0,2,0
184,3,35.0,1,1,1,0,1
185,3,4.0,4,2,0,0,0
186,3,45.5,0,0,0,2,0
187,3,22.0,0,0,1,1,1
188,1,29.700559701492537,1,0,1,0,1
189,3,29.700559701492537,0,0,0,2,0
190,3,29.700559701492537,0,0,0,0,1
191,3,17.0,4,2,1,0,1
192,2,27.0,0,0,1,0,1
193,2,16.0,0,0,0,0,0
194,1,28.0,0,0,0,0,0
195,3,29.700559701492537,0,0,0,2,0
196,3,29.700559701492537,0,0,0,1,1
197,3,20.0,1,1,0,2,1
198,3,28.0,0,0,0,0,0
199,3,29.700559701492537,0,0,0,0,0
200,3,29.700559701492537,3,1,1,0,0
201,1,50.0,2,0,0,0,1
202,3,29.700559701492537,0,0,1,1,1
203,3,29.700559701492537,0,0,0,0,0
204,3,21.0,2,2,1,0,0
205,3,19.0,0,0,0,0,0
206,3,40.0,1,0,1,0,0
207,2,29.700559701492537,0,0,0,2,0
208,1,37.0,1,1,0,0,1
209,1,11.0,1,2,0,0,1
210,3,39.0,1,5,1,0,0
211,2,22.0,1,1,1,0,1
212,1,21.0,0,0,1,0,1
213,3,29.700559701492537,0,0,0,1,0
214,2,5.0,1,2,1,0,1
215,3,29.700559701492537,0,0,0,1,0
216,2,39.0,0,0,0,0,0
217,3,8.0,4,1,0,1,0
218,2,30.0,0,0,1,1,1
219,3,25.0,1,0,1,0,0
220,1,29.0,0,0,1,0,1
221,3,20.0,0,0,0,0,0
222,2,57.0,0,0,1,0,0
223,3,35.0,0,0,0,0,0
224,3,29.700559701492537,0,0,0,1,0
225,3,44.0,0,0,0,0,0
226,1,35.0,1,0,1,0,1
227,2,24.0,2,0,0,0,0
228,2,30.0,3,0,1,0,1
229,1,45.0,0,0,0,0,0
230,2,29.700559701492537,0,0,0,0,0
231,2,2.0,1,1,0,0,1
232,1,19.0,1,0,1,2,1
233,3,29.700559701492537,0,0,0,2,0
234,3,17.0,0,0,0,0,0
235,3,27.0,0,0,0,0,1
236,3,29.700559701492537,0,0,0,2,0
237,3,41.0,0,5,1,0,0
238,1,36.0,0,0,0,2,0
239,3,21.0,0,0,1,1,0
240,3,35.0,0,0,0,0,0
241,3,22.0,0,0,0,2,0
242,3,51.0,0,0,0,0,0
243,1,40.0,1,1,1,2,1
244,2,34.0,0,0,0,0,1
245,1,50.0,1,0,0,0,0
246,3,30.5,0,0,1,1,0
247,2,28.0,1,0,1,2,1
248,1,50.0,0,0,1,2,0
249,3,29.700559701492537,0,0,0,0,0
250,3,29.700559701492537,1,0,0,1,0
251,1,25.0,1,0,0,2,1
252,3,16.0,5,2,1,0,0
253,3,61.0,0,0,0,0,0
254,3,11.0,0,0,0,2,0
255,3,29.700559701492537,0,0,1,1,0
256,3,18.0,0,0,0,0,0
257,1,48.0,1,0,0,2,1
258,2,36.0,0,0,0,0,0
259,3,42.0,0,0,0,0,0
260,3,29.0,0,2,1,2,1
261,1,24.0,0,0,0,2,0
262,3,26.0,2,0,0,0,0
263,2,54.0,0,0,0,0,0
264,2,42.0,0,0,0,0,1
265,3,30.0,0,0,0,0,0
266,1,17.0,1,0,1,0,1
267,2,24.0,0,0,0,0,0
268,3,29.700559701492537,0,0,0,2,0
269,2,32.0,0,0,0,0,0
270,3,29.700559701492537,1,1,0,2,1
271,3,12.0,1,0,0,2,1
272,3,31.0,0,0,0,1,0
273,3,18.0,0,1,1,0,1
274,3,6.0,4,2,1,0,0
275,2,48.0,0,0,0,0,0
276,2,39.0,0,0,0,0,0
277,3,2.0,4,1,0,0,0
278,3,29.700559701492537,0,0,0,2,0
279,3,29.700559701492537,0,0,0,2,0
280,3,21.0,0,0,0,0,0
281,3,29.700559701492537,1,0,1,0,1
282,3,16.0,0,0,1,1,1
283,3,18.0,1,1,0,0,0
284,3,29.700559701492537,0,0,0,2,0
285,3,4.0,1,1,1,0,1
286,1,19.0,0,2,1,0,1
287,3,22.0,0,0,0,0,0
288,3,44.0,0,0,0,0,1
289,1,52.0,1,1,0,0,0
290,3,16.0,0,0,1,1,1
291,1,27.0,0,2,0,2,0
292,3,21.0,0,0,0,0,0
293,3,14.0,1,0,1,2,1
294,3,43.0,1,6,1,0,0
295,1,33.0,1,0,1,1,1
296,3,9.0,0,2,0,0,1
297,3,16.0,0,0,0,0,1
298,3,29.700559701492537,0,0,0,1,0
299,1,40.0,0,0,1,0,1
300,1,36.0,1,2,0,0,1
301,3,25.0,0,0,0,0,1
302,2,1.0,0,2,0,2,1
303,3,45.0,0,1,1,2,0
304,2,23.0,2,1,0,0,0
305,2,36.0,0,0,0,2,0
306,3,14.0,4,1,0,0,0
307,3,24.0,0,2,1,0,1
308,3,20.0,0,0,0,2,0
309,1,36.0,0,0,1,2,1
310,3,29.700559701492537,1,2,1,0,0
311,3,21.0,0,0,0,0,0
312,3,29.700559701492537,1,0,1,1,1
313,3,29.0,0,0,0,0,0
314,3,59.0,0,0,0,0,0
315,3,29.700559701492537,1,0,0,0,0
316,3,41.0,0,2,1,0,0
317,2,25.0,0,0,0,0,0
318,3,29.700559701492537,0,0,0,0,0
319,1,37.0,1,0,0,0,0
320,1,22.0,1,0,1,0,1
321,1,27.0,0,0,0,0,1
322,3,18.0,0,0,0,0,0
323,3,7.0,4,1,0,0,0
324,1,21.0,2,2,1,2,1
325,2,36.0,1,2,0,0,0
326,3,15.0,0,0,1,2,1
327,2,48.0,1,2,1,0,1
328,1,45.0,0,0,0,0,1
329,3,29.700559701492537,0,0,1,0,0
330,1,29.700559701492537,0,1,1,0,1
331,3,21.0,0,0,0,0,1
332,2,42.0,0,0,0,0,0
333,3,32.0,1,0,0,0,0
334,3,14.5,1,0,1,2,0
335,1,29.700559701492537,1,0,1,2,1
336,1,22.0,0,2,1,2,1
337,3,22.0,0,0,0,2,1
338,3,33.0,0,0,0,0,0
339,3,29.700559701492537,0,0,0,0,0
340,2,29.700559701492537,0,0,0,2,1
341,3,9.0,1,1,1,2,0
342,2,43.0,1,1,0,0,0
343,3,26.0,0,0,0,2,1
344,2,27.0,0,0,0,0,0
345,3,45.0,1,4,1,0,0
346,3,29.700559701492537,8,2,1,0,0
347,3,5.0,4,2,1,0,1
348,3,30.0,0,0,0,2,0
349,3,2.0,3,2,1,0,0
350,3,29.700559701492537,0,0,0,0,1
351,2,34.0,0,0,0,0,0
352,3,29.700559701492537,0,0,0,0,0
353,1,29.700559701492537,0,0,0,0,0
354,3,29.700559701492537,0,0,1,1,1
355,2,30.0,1,0,0,2,0
356,3,15.0,1,1,0,2,0
357,3,39.0,0,0,0,0,0
358,2,36.0,1,0,1,0,1
359,3,29.0,0,0,0,2,1
360,3,30.0,0,0,1,0,1
361,1,29.700559701492537,0,0,0,0,0
362,2,18.0,0,0,0,0,0
363,2,21.0,0,0,0,0,0
364,3,29.700559701492537,0,0,0,1,0
365,3,29.700559701492537,0,0,0,1,0
366,2,34.0,1,0,0,0,0
367,3,29.700559701492537,0,0,0,0,0
368,3,29.700559701492537,0,0,0,1,0
369,2,29.700559701492537,0,0,0,0,0
370,1,65.0,0,0,0,0,0
371,1,40.0,0,0,0,2,1
372,3,36.0,1,1,0,0,0
373,3,19.0,0,0,0,0,0
374,2,29.700559701492537,0,0,0,0,0
375,1,45.5,0,0,0,0,0
376,2,13.0,0,1,1,0,1
377,2,40.0,1,1,1,0,1
378,1,44.0,0,0,1,2,1
379,2,28.0,0,0,0,0,0
380,3,19.0,0,0,0,0,0
381,3,29.700559701492537,0,0,0,0,0
382,3,29.700559701492537,0,0,0,0,0
383,2,40.0,0,0,1,0,1
384,2,24.0,0,0,0,0,0
385,3,30.0,0,0,0,0,0
386,1,18.0,0,2,1,0,1
387,2,4.0,1,1,1,0,1
388,3,2.0,4,2,1,0,0
389,2,29.700559701492537,0,0,0,0,0
390,3,22.0,0,0,1,0,1
391,1,49.0,1,0,0,2,1
392,2,24.0,0,0,1,0,1
393,3,19.0,0,0,0,0,0
394,3,20.0,0,0,0,0,0
395,3,29.700559701492537,0,0,0,0,0
396,3,29.700559701492537,0,0,0,0,0
397,1,30.0,0,0,1,2,1
398,3,22.0,0,0,0,0,0
399,1,47.0,1,1,1,0,1
400,1,49.0,1,0,0,2,1
401,2,3.0,1,1,0,0,1
402,3,19.0,0,0,0,0,0
403,1,29.700559701492537,0,0,0,2,1
404,3,45.0,0,0,1,0,0
405,2,21.0,0,0,1,0,1
406,1,24.0,0,0,1,2,1
407,3,29.700559701492537,0,0,1,1,1
408,2,0.83,0,2,0,0,1
409,2,31.0,1,1,1,0,1
410,3,29.700559701492537,0,0,0,2,0
411,3,29.700559701492537,2,0,0,1,1
412,2,45.0,0,0,1,0,1
413,3,25.0,1,0,0,0,1
414,3,4.0,3,2,0,0,0
415,1,16.0,0,1,1,0,1
416,3,29.700559701492537,8,2,0,0,0
417,2,42.0,1,0,1,0,1
418,3,48.0,0,0,0,0,0
419,1,23.0,1,0,1,2,1
420,3,25.0,0,0,0,2,0
421,3,21.0,0,0,0,0,0
422,3,39.0,1,5,0,0,0
423,3,40.0,1,4,0,0,0
424,3,34.0,1,1,0,0,0
425,3,29.700559701492537,0,0,0,1,0
426,2,24.0,0,2,1,0,1
427,1,23.0,0,1,0,2,1
428,2,54.0,1,3,1,0,1
429,2,24.0,1,0,1,0,1
430,3,28.0,0,0,0,0,0
431,2,34.0,0,0,0,0,0
432,2,24.0,2,3,1,0,1
433,3,22.0,0,0,0,0,0
434,3,18.0,0,0,1,0,1
435,3,32.0,0,0,0,0,1
436,3,29.700559701492537,3,1,0,0,0
437,1,58.0,0,1,1,0,1
438,1,22.0,0,0,1,0,1
439,1,43.0,0,1,1,0,1
440,1,35.0,0,0,0,2,1
441,1,29.700559701492537,0,0,0,0,0
442,3,20.0,1,0,1,0,0
443,3,20.0,0,0,0,0,0
444,3,21.0,0,0,0,0,0
445,2,55.0,0,0,1,0,1
446,3,25.0,1,0,0,0,0
447,1,29.0,1,0,0,0,0
448,1,58.0,0,0,1,2,1
449,3,29.700559701492537,0,0,1,1,1
450,2,23.0,0,0,1,2,1
451,3,10.0,0,2,1,0,0
452,1,30.0,0,0,1,0,1
453,1,46.0,0,0,0,2,0
454,3,29.700559701492537,0,0,0,0,0
455,1,39.0,1,0,1,0,1
456,3,27.0,0,2,1,0,1
457,3,28.0,0,0,0,0,0
458,2,0.67,1,1,0,0,1
459,3,74.0,0,0,0,0,0
460,3,16.0,0,0,0,0,0
461,1,33.0,0,0,0,0,0
462,1,25.0,1,2,1,0,0
463,2,36.0,0,0,1,0,1
464,3,20.0,0,0,0,2,1
465,2,23.0,0,0,0,0,0
466,2,2.0,1,1,1,0,1
467,3,47.0,0,0,0,0,0
468,2,26.0,0,0,0,0,0
469,3,6.0,0,1,0,0,1
470,3,29.700559701492537,0,0,0,0,1
471,3,29.700559701492537,3,1,1,0,0
472,3,29.700559701492537,0,0,0,0,0
473,3,25.0,0,0,0,0,0
474,2,29.0,1,0,0,2,0
475,2,47.0,0,0,0,0,0
476,3,29.700559701492537,8,2,0,0,0
477,2,29.700559701492537,0,0,0,0,0
478,1,29.700559701492537,0,0,0,0,0
479,3,25.0,0,0,0,0,0
480,2,42.0,0,0,1,0,1
481,3,51.0,0,0,0,0,0
482,3,20.0,0,0,0,0,0
483,3,33.0,0,0,0,2,0
484,2,19.0,0,0,0,0,0
485,3,34.0,0,0,0,0,0
486,3,23.0,0,0,0,0,0
487,3,30.0,0,0,0,2,0
488,2,19.0,1,0,1,0,1
489,3,3.0,4,2,0,0,1
490,3,24.0,0,0,0,0,0
491,3,29.700559701492537,0,0,0,0,0
492,3,29.700559701492537,0,0,1,1,1
493,3,30.0,1,0,0,0,0
494,1,28.0,0,0,0,0,1
495,3,29.700559701492537,0,0,0,1,0
496,2,34.0,0,1,1,0,1
497,3,2.0,3,1,0,0,0
498,3,19.0,0,0,0,1,0
499,2,30.0,0,0,0,0,0
500,1,31.0,1,0,0,0,1
501,3,29.700559701492537,0,0,0,2,1
502,2,42.0,1,0,0,0,0
503,2,34.0,1,0,0,0,0
